creator,creatorLabel,datebirth,datedeath,placebirthLabel,lat_long,placedeathLabel,lat_long_2
http://www.wikidata.org/entity/Q452318,Sebastiano Serlio,1475-09-15T00:00:00Z,1554-01-01T00:00:00Z,Bologne,"44.493888888889, 11.342777777778",Fontainebleau,"48.408888888889, 2.7016666666667"
http://www.wikidata.org/entity/Q443442,Levina Teerlinc,1510-01-01T00:00:00Z,1576-06-23T00:00:00Z,Bruges,"51.209444444444, 3.22",Londres,"51.507222222222, -0.1275"
http://www.wikidata.org/entity/Q459274,Ludger tom Ring der Jüngere,1522-01-01T00:00:00Z,1584-01-01T00:00:00Z,Münster,"51.966666666667, 7.6333333333333",Brunswick,"52.269166666667, 10.521111111111"
http://www.wikidata.org/entity/Q449920,Hans Dürer,1490-02-21T00:00:00Z,1534-01-01T00:00:00Z,Nuremberg,"49.452777777778, 11.077777777778",Cracovie,"50.066666666667, 19.95"
http://www.wikidata.org/entity/Q442528,Giovanni Antonio Boltraffio,1467-01-01T00:00:00Z,1516-01-01T00:00:00Z,Milan,"45.464161, 9.190336",Milan,"45.464161, 9.190336"
http://www.wikidata.org/entity/Q458158,Gerard Horenbout,1465-01-01T00:00:00Z,1541-01-01T00:00:00Z,Gand,"51.05, 3.7166666666667",Londres,"51.507222222222, -0.1275"
http://www.wikidata.org/entity/Q470846,Amico Aspertini,1475-01-01T00:00:00Z,1552-01-01T00:00:00Z,Bologne,"44.493888888889, 11.342777777778",Bologne,"44.493888888889, 11.342777777778"
http://www.wikidata.org/entity/Q460751,Prospero Fontana,1512-01-01T00:00:00Z,1597-01-01T00:00:00Z,Bologne,"44.493888888889, 11.342777777778",Rome,"41.893055555556, 12.482777777778"
http://www.wikidata.org/entity/Q469379,Francesco Melzi,1491-01-01T00:00:00Z,1568-01-01T00:00:00Z,Milan,"45.464161, 9.190336",Vaprio d'Adda,"45.566666666667, 9.5333333333333"
http://www.wikidata.org/entity/Q450490,Bernt Notke,1440-01-01T00:00:00Z,1509-06-01T00:00:00Z,Lassan,"53.933333333333, 13.833333333333",Lübeck,"53.869722222222, 10.686388888889"
http://www.wikidata.org/entity/Q455712,Domenico Beccafumi,1486-01-01T00:00:00Z,1551-05-15T00:00:00Z,province de Sienne,"43.333333333333, 11.333333333333",Sienne,"43.318333333333, 11.331388888889"
http://www.wikidata.org/entity/Q454678,Bernard van Orley,1487-01-01T00:00:00Z,1541-01-06T00:00:00Z,Bruxelles,"50.846666666667, 4.3525",Murcie,"37.986111111111, -1.1302777777778"
http://www.wikidata.org/entity/Q459626,Ambrosius Benson,1500-01-01T00:00:00Z,1550-01-01T00:00:00Z,Italie du Nord,"45.5, 10.5",Bruges,"51.209444444444, 3.22"
http://www.wikidata.org/entity/Q464485,Sin Saimdang,1504-10-29T00:00:00Z,1551-05-17T00:00:00Z,Gangneung,"37.755555555556, 128.89611111111",Paju,"37.832777777778, 126.81694444444"
http://www.wikidata.org/entity/Q537712,Franciabigio,1482-01-01T00:00:00Z,1525-02-13T00:00:00Z,Florence,"43.771388888889, 11.254166666667",Florence,"43.771388888889, 11.254166666667"
http://www.wikidata.org/entity/Q543948,Frans Floris I,1519-01-01T00:00:00Z,1570-10-01T00:00:00Z,Anvers,"51.216666666667, 4.4",Anvers,"51.216666666667, 4.4"
http://www.wikidata.org/entity/Q544173,Marietta Robusti,1554-01-01T00:00:00Z,1590-01-01T00:00:00Z,Venise,"45.439722222222, 12.331944444444",Venise,"45.439722222222, 12.331944444444"
http://www.wikidata.org/entity/Q528968,Jacopo Zucchi,1542-01-01T00:00:00Z,1596-01-01T00:00:00Z,Florence,"43.771388888889, 11.254166666667",Florence,"43.771388888889, 11.254166666667"
